linked_person,source
Template talk:1945 Nobel Prize winners,Gabriela Mistral
Template talk:Nobel Prize in Literature,Gabriela Mistral
Help:Authority control,Gabriela Mistral
Help:IPA/Spanish,Gabriela Mistral
Help:Maintenance template removal,Gabriela Mistral
Help:Referencing for beginners,Gabriela Mistral
Category:CS1 maint: others,Gabriela Mistral
Portal:Biography,Gabriela Mistral
Portal:Chile,Gabriela Mistral
Portal:Poetry,Gabriela Mistral
